AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
" -141.0205,70.0187 "," -88.1955,35.0041 "," -94.0416,33.0225 ","-112.5989,36.9993 "," -124.4009,41.9983 "," -109.0448,37.0004 "," -73.4875,42.0498 "," -75.7919,39.7188 "," -87.6050,30.9988 "," -85.6082,34.9974 "," -154.6284,19.5158 "," -95.7623,40.5848 "," -117.0319,49.0000 "," -90.6290,42.5116 "," -87.5253,41.7611 "," -102.0506,40.0034 "," -89.5372,36.4986 "," -94.0430,33.0225 "," -72.7789,42.0003 "," -79.4778,39.7220 "," -71.0129,45.3425 "," -88.3713,48.3033 "," -96.4517,43.5008 "," -91.7468,40.6181 "," -90.3049,35.0041 "," -111.0512,44.4750 "," -78.4850,33.7963 "," -104.0501,48.9955 "," -104.0543,42.9986 "," -71.5045,45.0153 "," -74.6950,41.3572 "," -109.0448,36.9971 "," -120.0037,41.9922 "," -79.7624,42.5142 "," -82.3425,38.4385 "," -103.0051,37.0015 "," -124.2444,46.2587 "," -80.5174,42.3261 "," -71.0568,41.3706 "," -80.7001,32.0488 "," -104.0501,45.9435 "," -88.0678,36.6739 "," -106.5715,31.8659 "," -114.0491,36.9982 "," -83.6753,36.6017 "," -73.3427,45.0104 "," -123.3208,49.0023 "," -90.6303,42.5116 "," -79.4765,39.7188 "," -104.0556,41.0037 "
" -141.7291,70.1292 "," -85.6068,34.9918 "," -91.2057,33.0075 "," -110.8630,37.0004 "," -123.6237,42.0024 "," -102.0424,36.9949 "," -73.4247,42.0511 "," -75.7837,39.5210 "," -86.5613,30.9964 "," -84.7266,34.9906 "," -154.8235,19.8894 "," -93.5445,40.5785 "," -116.0486,49.0018 "," -87.0213,42.4924 "," -84.8090,41.7611 "," -102.0506,40.0034 "," -89.3010,36.5074 "," -93.0048,33.0179 "," -72.7405,42.0330 "," -78.3600,39.7220 "," -70.9525,45.3328 "," -87.6050,48.0101 "," -91.2195,43.5017 "," -91.6809,40.5597 "," -88.1955,35.0075 "," -111.3684,44.7311 "," -79.6742,34.8037 "," -104.0446,45.9445 "," -104.0543,41.0027 "," -71.4977,45.0532 "," -74.6559,41.3394 "," -109.0489,31.3337 "," -117.9602,42.0003 "," -79.0672,42.7783 "," -82.2917,38.5707 "," -103.0037,36.5030 "," -124.0384,46.2634 "," -80.0821,42.3961 "," -71.0541,41.3706 "," -80.8978,32.0453 "," -104.0529,43.0026 "," -87.8522,36.6354 "," -106.5042,31.7504 "," -109.0462,37.0026 "," -83.5613,36.6519 "," -73.1827,45.0134 "," -123.0338,49.0027 "," -87.0241,42.4954 "," -79.4806,39.2057 "," -104.0584,44.9949 "
" -144.8163,70.4515 "," -85.1756,32.8404 "," -91.1989,33.1180 "," -109.0475,37.0004 "," -123.1526,42.0126 "," -102.0534,41.0006 "," -72.8146,42.0371 "," -75.7288,38.9081 "," -85.5313,31.0035 "," -84.1580,34.9895 "," -155.0391,20.1849 "," -91.7372,40.6129 "," -116.0445,47.9752 "," -87.2067,41.7641 "," -84.8199,39.0981 "," -102.0438,36.9927 "," -88.6871,36.5008 "," -91.1646,33.0087 "," -72.3779,42.0330 "," -75.7878,39.7220 "," -70.8618,45.2294 "," -84.8584,46.8902 "," -91.3101,43.8226 "," -91.6260,40.5472 "," -88.0994,34.8882 "," -111.5071,44.6198 "," -80.8003,34.8206 "," -96.5671,45.9340 "," -102.0506,41.0006 "," -71.4619,45.0910 "," -73.8940,40.9934 "," -108.2140,31.3349 "," -117.0264,42.0003 "," -78.9313,42.8508 "," -82.1722,38.5965 "," -100.0003,36.4986 "," -124.0205,46.2891 "," -79.7621,42.5167 "," -71.1447,41.6339 "," -81.1134,32.1105 "," -98.4993,42.9946 "," -83.6787,36.6023 "," -106.3092,31.6242 "," -109.0503,40.9986 "," -83.4432,36.6673 "," -72.7432,45.0153 "," -122.0650,49.0018 "," -87.1477,43.3721 "," -79.0576,39.4871 "," -111.0539,44.9998 "
" -148.4583,70.7471 "," -84.8927,32.2593 "," -91.1041,33.1824 "," -109.0503,31.3325 "," -122.0073,42.0075 "," -109.0489,40.9996 "," -72.8174,41.9983 "," -75.7068,38.5911 "," -85.1193,31.0012 "," -83.1088,34.9996 "," -155.5952,20.3910 "," -91.6768,40.5545 "," -115.6915,47.5765 "," -87.5226,41.7611 "," -84.8927,39.0533 "," -94.6211,36.9982 "," -88.0568,36.4931 "," -91.2209,32.9269 "," -71.7984,42.0228 "," -75.7809,39.5655 "," -70.8247,45.3917 "," -84.7650,46.6362 "," -91.4914,43.9651 "," -91.5463,40.4658 "," -88.1241,34.7044 "," -111.4673,44.5386 "," -80.7880,34.9377 "," -96.6028,46.3242 "," -102.0493,40.0034 "," -71.4276,45.1520 "," -73.9586,40.8398 "," -108.2071,31.7795 "," -115.7300,42.0003 "," -78.9024,42.9061 "," -82.1997,38.7712 "," -99.9934,34.5620 "," -123.9368,46.2407 "," -79.7607,42.0003 "," -71.1942,41.6791 "," -81.1423,32.2058 "," -98.4444,42.9283 "," -81.9402,36.5946 "," -106.2103,31.4638 "," -111.0471,41.0006 "," -83.3080,36.7108 "," -72.6100,45.0134 "," -121.7491,48.9973 "," -87.1230,43.6838 "," -78.9725,39.4394 "," -111.0457,40.9986 "
" -151.1609,70.7923 "," -85.0342,32.1535 "," -91.1343,33.3053 "," -111.0718,31.3325 "," -121.2369,41.9962 "," -109.0448,37.0004 "," -72.7638,42.0044 "," -75.6944,38.4600 "," -85.0012,31.0023 "," -83.1418,34.9287 "," -155.7930,20.8614 "," -91.6246,40.5451 "," -115.7574,47.5487 "," -87.5336,39.6417 "," -84.8625,38.8996 "," -94.6046,38.8803 "," -88.0692,36.6695 "," -91.1220,32.8773 "," -71.8011,42.0085 "," -75.7617,39.3152 "," -70.7808,45.4274 "," -84.5563,46.4606 "," -91.7084,44.1113 "," -91.4337,40.3675 "," -88.2573,33.6661 "," -111.8285,44.5151 "," -80.9377,35.1019 "," -96.7978,46.6636 "," -95.3091,39.9992 "," -71.3960,45.2043 "," -74.0094,40.7691 "," -106.5317,31.7830 "," -114.0436,41.9952 "," -78.9313,42.9554 "," -82.0294,39.0181 "," -99.6172,34.3763 "," -123.8681,46.2388 "," -75.3580,41.9983 "," -71.2793,41.7611 "," -81.1821,32.3846 "," -98.1958,42.8438 "," -81.9209,36.6144 "," -106.0181,31.3912 "," -111.0498,41.9993 "," -83.1974,36.7389 "," -72.5551,45.0075 "," -121.5912,48.9991 "," -86.9911,44.1694 "," -78.7747,39.6438 "," -104.0556,41.0006 "
" -152.6221,71.1470 "," -85.1358,31.7947 "," -91.1646,33.4211 "," -114.8126,32.4935 "," -119.9982,41.9983 ",," -72.7563,42.0360 "," -74.8608,38.4482 "," -84.9847,30.9364 "," -83.3025,34.8318 "," -156.1858,21.0948 "," -91.4365,40.3622 "," -115.7595,47.4239 "," -87.5308,39.3566 "," -84.8268,38.8312 "," -94.6143,39.0789 "," -87.8535,36.6343 "," -91.1481,32.8358 "," -71.3850,42.0197 "," -75.7329,38.9498 "," -70.6380,45.3830 "," -84.4780,46.4525 "," -91.8951,44.2806 "," -91.5161,40.1663 "," -88.4756,31.8939 "," -111.8848,44.5592 "," -81.0379,35.0356 "," -96.7896,46.8602 "," -95.4808,40.2397 "," -71.4455,45.2362 "," -74.0231,40.6994 "," -106.6223,32.0034 "," -114.0546,38.2856 "," -78.9656,42.9584 "," -81.8729,38.8750 "," -99.5787,34.4137 "," -123.7390,46.2691 "," -75.2673,41.9431 "," -71.3315,41.7775 "," -81.1986,32.4576 "," -98.0571,42.7773 "," -81.6518,36.6111 "," -105.7874,31.1846 "," -114.0395,41.9901 "," -83.1363,36.7433 "," -72.4562,45.0090 "," -119.6082,49.0009 "," -86.8579,44.4828 "," -78.6703,39.5369 ",
" -153.9954,71.1185 "," -85.0438,31.5200 "," -91.2263,33.4337 "," -114.8099,32.5184 "," -120.0037,39.0021 ",," -72.6945,42.0368 "," -74.8526,38.8654 "," -84.9367,30.8845 "," -83.3560,34.7281 "," -156.6595,21.3597 "," -91.3623,40.4637 "," -115.5350,47.3109 "," -87.6517,39.1386 "," -84.8145,38.7841 "," -94.6184,39.1971 "," -86.5654,36.6265 "," -91.1412,32.7642 "," -71.3837,41.8961 "," -75.6944,38.4611 "," -70.7190,45.5092 "," -84.4450,46.4894 "," -91.9556,44.3710 "," -91.4900,39.9866 "," -88.4180,30.8657 "," -112.1127,44.5229 "," -81.0324,35.1457 "," -96.7896,46.9503 "," -95.6470,40.3130 "," -71.3878,45.2372 "," -74.0437,40.6786 "," -103.0696,31.9999 "," -114.0491,36.1955 "," -79.0219,42.9886 "," -81.7644,38.9359 "," -99.4290,34.3763 "," -123.6868,46.2520 "," -75.1794,41.8696 "," -71.3425,41.7918 "," -81.2769,32.5283 "," -97.9761,42.7631 "," -81.7163,36.3295 "," -105.5663,31.0012 "," -114.0504,37.0015 "," -83.1047,36.8032 "," -72.3113,45.0037 "," -118.0378,49.0005 "," -86.6876,44.8792 "," -78.5742,39.5210 ",
" -154.8853,71.4307 "," -85.0836,31.3384 "," -91.2524,33.5403 "," -114.8044,32.5827 "," -117.9575,37.5555 ",," -72.6086,42.0309 "," -75.0504,38.8451 "," -84.9271,30.8409 "," -83.3080,34.6569 "," -157.1182,21.4748 "," -91.4021,40.5482 "," -115.3235,47.2606 "," -87.5157,38.9445 "," -84.8941,38.7905 "," -94.7255,39.1673 "," -83.6375,36.5979 "," -91.1536,32.6382 "," -71.3411,41.8982 "," -74.8581,38.4482 "," -70.5721,45.6544 "," -84.4203,46.5008 "," -92.2083,44.4357 "," -91.4447,39.8634 "," -88.3850,30.1594 "," -112.3270,44.5367 "," -81.3867,35.1660 "," -96.8335,47.1300 "," -95.6689,40.4302 "," -71.3617,45.2710 "," -74.0808,40.6515 "," -103.0023,36.9982 "," -114.0985,36.1334 "," -79.0027,43.0568 "," -81.7397,39.1865 "," -99.3823,34.4534 "," -123.6456,46.2596 "," -75.0586,41.7713 "," -71.3507,41.8225 "," -81.4087,32.5838 "," -97.8566,42.8599 "," -81.7973,36.3516 "," -105.4015,30.8456 ",," -83.1033,36.8302 "," -72.0964,45.0066 "," -117.0319,48.9996 "," -86.2523,45.2343 "," -78.4644,39.5210 ",
" -156.7529,71.5232 "," -85.1070,31.2093 "," -91.1797,33.6112 "," -114.7992,32.6246 "," -116.3699,36.3594 ",," -72.6059,42.0269 "," -75.1678,39.0565 "," -84.9257,30.7902 "," -83.1528,34.5744 "," -157.5247,21.5515 "," -91.1124,40.6931 "," -115.2878,47.1888 "," -87.5047,38.7294 "," -84.9861,38.7809 "," -94.8793,39.2759 "," -83.3423,36.6860 "," -91.1069,32.5804 "," -71.3370,41.8358 "," -74.9721,38.0200 "," -70.3894,45.7292 "," -84.3956,46.4989 "," -92.3360,44.5513 "," -91.3623,39.7283 "," -88.8327,30.0905 "," -112.3901,44.4475 "," -82.2739,35.1985 "," -96.8335,47.2345 "," -95.7500,40.5900 "," -71.2834,45.3029 "," -74.1357,40.6421 "," -109.0475,36.9982 "," -114.1260,36.1068 "," -79.0727,43.0769 "," -81.5680,39.2812 "," -99.2505,34.3616 "," -123.5468,46.2577 "," -75.0366,41.6729 "," -71.3370,41.8512 "," -81.4183,32.6926 "," -97.2290,42.8518 "," -81.9072,36.2974 "," -105.0032,30.6462 ",," -83.0704,36.8544 "," -71.9131,45.0070 "," -117.0415,47.9614 "," -86.7535,45.4418 "," -78.4094,39.6015 ",
" -157.9449,71.2796 "," -84.9944,31.0023 "," -91.2524,33.6855 "," -114.7474,32.6700 "," -114.6368,35.0075 ",," -72.5784,42.0269 "," -75.3236,39.2525 "," -84.9147,30.7489 "," -83.0072,34.4839 "," -157.8186,21.8832 "," -91.1028,40.8107 "," -115.2493,47.1542 "," -87.6146,38.6115 "," -85.1797,38.6877 "," -95.0990,39.5612 "," -83.1377,36.7466 "," -91.0080,32.6093 "," -71.3493,41.8245 "," -75.2316,38.0275 "," -70.4169,45.7924 "," -84.3750,46.5093 "," -92.6367,44.6501 "," -91.3074,39.6861 "," -89.1870,30.2104 "," -112.7293,44.4896 "," -82.3933,35.2041 "," -96.8555,47.4132 "," -95.8543,40.6827 "," -71.2299,45.2507 "," -74.1962,40.6452 ",," -114.1150,36.0891 "," -79.0713,43.1220 "," -81.4444,39.4022 "," -99.1818,34.2129 "," -123.4863,46.2672 "," -75.0641,41.6021 "," -71.3397,41.8880 "," -81.4746,32.8242 "," -97.2057,42.8075 "," -82.0308,36.1212 "," -104.8521,30.3847 ",," -83.0127,36.8478 "," -71.5636,45.0138 "," -117.0394,46.5060 "," -87.1024,45.4438 "," -78.3517,39.6395 ",
