Zip,City,State,Latitude,Longitude,geopoint,Demand,DC_Candidate
29607,Greenville,SC,34.825592,-82.34099,"34.825592,-82.34099",6732,0
33446,Delray Beach,FL,26.452473,-80.16509,"26.452473,-80.16509",6607,0
02472,Watertown,MA,42.371296,-71.18196,"42.371296,-71.18196",5653,0
81505,Grand Junction,CO,39.112514,-108.60506,"39.112514,-108.60506",7264,0
82718,Gillette,WY,43.939968,-105.52445,"43.939968,-105.52445",4835,0
38017,Collierville,TN,35.057224,-89.67417,"35.057224,-89.67417",4763,1
98520,Aberdeen,WA,46.972965,-123.81923,"46.972965,-123.81923",5731,0
32503,Pensacola,FL,30.447997,-87.20727,"30.447997,-87.20727",7431,0
19134,Philadelphia,PA,39.991712,-75.11116,"39.991712,-75.11116",5033,0
55125,Saint Paul,MN,44.921982,-92.94234,"44.921982,-92.94234",7795,0
02169,Quincy,MA,42.250739,-70.99593,"42.250739,-70.99593",4277,0
90301,Inglewood,CA,33.955913,-118.35868,"33.955913,-118.35868",5778,0
02886,Warwick,RI,41.705478,-71.45119,"41.705478,-71.45119",5828,1
36535,Foley,AL,30.396876,-87.69616,"30.396876,-87.69616",6647,0
95965,Oroville,CA,39.558586,-121.58923,"39.558586,-121.58923",7142,0
60139,Glendale Heights,IL,41.920228,-88.07891,"41.920228,-88.07891",7544,0
61107,Rockford,IL,42.280019,-89.03347,"42.280019,-89.03347",6648,0
32746,Lake Mary,FL,28.758133,-81.33992,"28.758133,-81.33992",7468,0
27105,Winston Salem,NC,36.147887,-80.23423,"36.147887,-80.23423",6362,0
30339,Atlanta,GA,33.87507,-84.46615,"33.87507,-84.46615",4705,0
95826,Sacramento,CA,38.550098,-121.37492,"38.550098,-121.37492",7558,0
77581,Pearland,TX,29.56218,-95.26982,"29.56218,-95.26982",6599,0
93215,Delano,CA,35.774967,-119.23371,"35.774967,-119.23371",6135,0
37421,Chattanooga,TN,35.028574,-85.15939,"35.028574,-85.15939",6222,0
30354,Atlanta,GA,33.658834,-84.39682,"33.658834,-84.39682",7672,0
42104,Bowling Green,KY,36.930527,-86.44751,"36.930527,-86.44751",6897,0
44333,Akron,OH,41.144661,-81.61948,"41.144661,-81.61948",5701,0
77015,Houston,TX,29.778526,-95.18118,"29.778526,-95.18118",4537,0
78041,Laredo,TX,27.542244,-99.49233,"27.542244,-99.49233",6893,0
96720,Hilo,HI,19.713562,-155.09842,"19.713562,-155.09842",6120,0
36801,Opelika,AL,32.660497,-85.39917,"32.660497,-85.39917",6825,0
23834,Colonial Heights,VA,37.265403,-77.40438,"37.265403,-77.40438",5940,0
27103,Winston Salem,NC,36.066545,-80.30733,"36.066545,-80.30733",6163,0
29730,Rock Hill,SC,34.914611,-81.0125,"34.914611,-81.0125",4976,0
18045,Easton,PA,40.681531,-75.26722,"40.681531,-75.26722",4755,0
00659,Hatillo,PR,18.432956,-66.80039,"18.432956,-66.80039",7781,0
98665,Vancouver,WA,45.681271,-122.66712,"45.681271,-122.66712",6046,0
77478,Sugar Land,TX,29.627737,-95.62444,"29.627737,-95.62444",5871,0
32571,Milton,FL,30.627637,-87.16724,"30.627637,-87.16724",7503,0
49080,Plainwell,MI,42.462935,-85.61256,"42.462935,-85.61256",6496,0
08051,Mantua,NJ,39.785785,-75.17761,"39.785785,-75.17761",6898,0
74145,Tulsa,OK,36.096296,-95.8847,"36.096296,-95.8847",4099,0
06382,Uncasville,CT,41.457198,-72.11459,"41.457198,-72.11459",6008,0
01752,Marlborough,MA,42.350909,-71.54753,"42.350909,-71.54753",7249,0
85258,Scottsdale,AZ,33.566635,-111.89337,"33.566635,-111.89337",4755,0
52732,Clinton,IA,41.861633,-90.21539,"41.861633,-90.21539",4797,0
08075,Riverside,NJ,40.029361,-74.9541,"40.029361,-74.9541",4659,0
66223,Shawnee Mission,KS,38.860552,-94.66594,"38.860552,-94.66594",7219,1
20706,Lanham,MD,38.964093,-76.85331,"38.964093,-76.85331",6958,0
90220,Compton,CA,33.890566,-118.23666,"33.890566,-118.23666",4423,0
77072,Houston,TX,29.700898,-95.59002,"29.700898,-95.59002",7360,0
34974,Okeechobee,FL,27.1944,-80.84644,"27.1944,-80.84644",7337,0
